filing_year,lat,lon,geo_accuracy
2021,36.0954,-95.8966,1
2021,36.0947,-95.8943,1
2021,36.0942,-95.8902,1
2021,36.1388,-95.8862,1
2021,36.1801,-95.9003,1
2021,36.092725,-95.891456,1
2021,36.1856,-95.9867,1
2021,36.092725,-95.891456,1
2021,36.092725,-95.891456,1
2021,36.1501,-96.2226,1
2021,36.1305,-95.8524,1
2021,36.092725,-95.891456,1
2021,36.0929,-95.9179,1
2021,36.0657,-95.961,1
2021,36.092725,-95.891456,1
2021,36.0658,-95.9602,1
2021,36.0878,-95.9581,1
2021,36.1464,-95.8875,1
2021,36.1464,-95.8875,1
2021,36.092725,-95.891456,1
2021,36.0654,-95.9577,1
2021,36.1535,-95.8467,1
2021,36.0238,-95.9787,1
2021,36.0947,-95.9995,1
2021,36.092725,-95.891456,1
2021,35.9913,-95.8837,1
2021,36.1562,-95.8998,1
2021,36.0587,-95.7726,1
2021,36.092725,-95.891456,1
2021,36.0858,-95.9838,1
2021,36.0592,-95.7726,1
2021,36.1228,-95.8489,1
2021,36.1504,-95.9756,1
2021,36.0952,-95.8734,1
2021,36.1507,-95.9056,0.9
2021,36.0962,-95.9177,1
2021,36.0965,-95.9177,1
2021,36.0964,-95.9177,1
2021,36.1701,-95.917,1
2021,36.1636,-95.8527,1
2021,36.1269,-95.8856,1
2021,36.1275,-95.8823,1
2021,36.0746,-95.98,1
2021,36.1462,-96.079,1
2021,36.092725,-95.891456,1
2021,36.0818,-95.9734,1
2021,36.1235,-95.908,1
2021,36.0677,-95.9711,1
2021,36.1045,-95.9823,1
2021,36.092725,-95.891456,1
2021,36.1642,-95.8527,1
2021,36.058,-95.8511,1
2021,36.0579,-95.8511,1
2021,36.175,-95.9154,1
2021,36.1641,-95.8542,1
2021,36.092725,-95.891456,1
2021,36.0593,-95.9659,1
2021,36.0592,-95.9648,1
2021,36.0598,-95.9638,1
2021,36.092725,-95.891456,1
2021,36.0774,-95.7847,1
2021,36.092725,-95.891456,1
2021,36.1804,-95.9345,1
2021,36.0915,-96.0277,1
2021,36.0286,-95.8028,1
2021,36.092725,-95.891456,1
2021,36.0739,-95.9784,1
2021,36.0695,-95.9778,1
2021,36.1524,-96.0093,1
2021,36.0939,-95.967,1
2021,36.092725,-95.891456,1
2021,36.1377,-95.9812,1
2021,36.1159,-95.856,1
2021,36.092725,-95.891456,1
2021,36.1287,-95.9858,1
2021,36.0799,-95.9805,1
2021,36.1389,-95.8217,1
2021,36.0799,-95.9805,1
2021,36.2563,-95.9712,0.99
2021,36.0608,-95.9751,0.9
2021,36.0606,-95.9701,1
2021,36.0606,-95.9712,1
2021,36.1209,-95.8291,1
2021,36.0919,-95.9373,1
2021,36.1174,-95.8619,1
2021,36.1174,-95.8639,1
2021,36.1741,-95.9132,1
2021,36.1235,-95.8318,1
2021,36.0801,-95.9594,1
2021,36.092725,-95.891456,1
2021,36.0801,-95.9594,1
2021,36.0491,-95.7953,1
2021,36.1941,-95.9589,1
2021,35.9253,-95.8851,1
2021,36.092725,-95.891456,1
2021,36.1376,-96.1179,1
2021,36.0896,-95.9572,1
2021,36.1393,-95.8541,1
2021,36.0232,-95.9457,1
2021,36.0222,-95.9481,1
2021,36.079,-95.8109,1
2021,36.092725,-95.891456,1
2021,36.092725,-95.891456,1
2021,36.0261,-95.9725,1
2021,36.269713,-95.83948,1
2021,36.079,-95.8109,1
2021,36.079,-95.8109,1
2021,36.1759,-95.9702,1
2021,36.1338,-95.8567,1
2021,36.2758,-95.8243,1
2021,36.1296,-95.8177,1
2021,36.033,-95.9734,1
2021,36.0545,-95.8664,1
2021,36.1016,-95.8554,1
2021,36.1013,-95.8543,1
2021,36.0931,-95.8916,1
2021,36.0932,-95.8915,1
